UserId,First Name,Middle Name,Last Name,PostCode,Address,Email,Phone,CustomerType
CS01,IMA,EMANUELI,MAHENGE,EH14 4AS,Ricarton Avenue,iem4000@hw.ac.uk,+44123123123,ROYAL
CS02,JUNAID,JUNAID,JUNAID,EH14 4AS,Ricarton Avenue,iem4000@hw.ac.uk,+44123123123,ROYAL
CS03,SHRESH,SHRESH,SHRESH,EH14 4AS,Ricarton Avenue,iem4000@hw.ac.uk,+44123123123,ROYAL
CS04,ADIL,ADIL,ADIL,EH14 4AS,Ricarton Avenue,iem4000@hw.ac.uk,+44123123123,ROYAL
CS05,AEDH,AEDH,AEDH,EH14 4AS,Ricarton Avenue,iem4000@hw.ac.uk,+44123123123,ROYAL
CS06,JACK,OLIVER,SMITH,EH14 4AS,Ricarton Avenue,jack.smith@hw.ac.uk,+44123123124,ROYAL
CS07,OLIVIA,GRACE,WILLIAMS,EH14 4AS,Ricarton Avenue,olivia.williams@hw.ac.uk,+44123123125,ROYAL
CS08,HARRY,JAMES,JONES,EH14 4AS,Ricarton Avenue,harry.jones@hw.ac.uk,+44123123126,ROYAL
CS09,ISLA,MAE,BROWN,EH14 4AS,Ricarton Avenue,isla.brown@hw.ac.uk,+44123123127,ROYAL
CS10,THOMAS,LEE,DAVIS,EH14 4AS,Ricarton Avenue,thomas.davis@hw.ac.uk,+44123123128,ROYAL
CS11,AVA,HOPE,MILLER,EH14 4AS,Ricarton Avenue,ava.miller@hw.ac.uk,+44123123129,ROYAL
CS12,GEORGE,ALAN,WILSON,EH14 4AS,Ricarton Avenue,george.wilson@hw.ac.uk,+44123123130,ROYAL
CS13,SOPHIE,ANN,MOORE,EH14 4AS,Ricarton Avenue,sophie.moore@hw.ac.uk,+44123123131,ROYAL
CS14,CHARLIE,ELI,ANDERSON,EH14 4AS,Ricarton Avenue,charlie.anderson@hw.ac.uk,+44123123132,ROYAL
